question,translation,GPT-Score,Google Translate,Score,ChatGPT (no schema),Score
Count the number of trips that did not end in San Francisco city.,[Translation] عدد الرحلات التي لم تنتهي في مدينة سان فرانسيسكو.,9,,,,
How many trips did not end in San Francisco?,[Translation] كم عدد الرحلات التي لم تنتهي في سان فرانسيسكو؟,9,,,,
"In zip code 94107, on which day neither Fog nor Rain was not observed?",[Translation] في رمز البريدي 94107، في أي يوم لم يتم فيه رصد الضباب أو المطر؟,9,,,,
On which day has it neither been foggy nor rained in the zip code of 94107?,[Translation] في أي يوم لم يكن هناك ضباب أو مطر في رمز البريدي 94107؟,9,,,,
What are the ids of stations that have latitude above 37.4 and never had bike availability below 7?,[Translation] ما هي معرفات المحطات التي لديها خطوط عرض أعلى من 37.4 ولم تكن لديها توفر للدراجات أقل من 7؟,9,,,,
What are the ids of all stations that have a latitude above 37.4 and have never had less than 7 bikes available?,[Translation] ما هي معرفات جميع المحطات التي لديها خطوط عرض أعلى من 37.4 ولم تكن لديها أقل من 7 دراجات متاحة؟,9,,,,
What are names of stations that have average bike availability above 10 and are not located in San Jose city?,[Translation] ما هي أسماء المحطات التي لديها توفر للدراجات فوق 10 في المتوسط وغير موجودة في مدينة سان خوسيه؟,9,,,,
What are the names of all stations that have more than 10 bikes available and are not located in San Jose?,[Translation] ما هي أسماء جميع المحطات التي تحتوي على أكثر من 10 دراجة متاحة وليست موجودة في سان خوسيه؟,9,,,,
"What are the name, latitude, and city of the station with the lowest latitude?",[Translation] ما هو اسم المحطة وخط العرض والمدينة للمحطة التي تحتوي على أقل خط عرض؟,8,7.005,,,
"What is the name, latitude, and city of the station that is located the furthest South?",[Translation] ما هو اسم المحطة وخط العرض والمدينة للمحطة التي تقع إلى الجنوب بشكل أقصى؟,8,,,,
"What are the date, mean temperature and mean humidity for the top 3 days with the largest max gust speeds?",[Translation] ما هي التاريخ ودرجة الحرارة المتوسطة ورطوبة الهواء المتوسطة لأعلى 3 أيام مع أكبر سرعات هبوب للرياح؟,8,,,,
"What is the date, average temperature and mean humidity for the days with the 3 largest maximum gust speeds?",[Translation] ما هو التاريخ ودرجة الحرارة المتوسطة ورطوبة الهواء المتوسطة للأيام التي تحتوي على أكبر 3 سرعات هبوب للرياح؟,8,,,,
List the name and the number of stations for all the cities that have at least 15 stations.,[Translation] اعطنى اسم المدينة وعدد المحطات لجميع المدن التي تحتوي على ما لا يقل عن 15 محطة.,9,,,,
What is the name of every city that has at least 15 stations and how many stations does it have?,[Translation] ما هو اسم كل مدينة تحتوي على ما لا يقل عن 15 محطة وكم عدد المحطات لديها؟,9,,,,
Find the ids and names of stations from which at least 200 trips started.,[Translation] اعرض على معرفات وأسماء المحطات التي بدأت منها ما لا يقل عن 200 رحلة.,9,,,,
What are the ids and names of all start stations that were the beginning of at least 200 trips?,[Translation] ما هي معرفات وأسماء جميع محطات البداية التي كانت بداية لما لا يقل عن 200 رحلة؟,8,,,,
Find the zip code in which the average mean visibility is lower than 10.,[Translation] اعرض رمز البريدي الذي تكون فيه متوسط ​​وضوح الرؤية أقل من 10.,8,,,,
"For each zip code, select all those that have an average mean visiblity below 10.",[Translation] لكل رمز بريدي، حدد جميع تلك التي تحتوي على متوسط ​​وضوح رؤية أقل من 10.,7,,,,
List all the cities in a decreasing order of each city's stations' highest latitude.,[Translation] أعرض جميع المدن بترتيب تنازلي حسب أقصى خط عرض لمحطاتها.,8,,,,
"For each city, list their names in decreasing order by their highest station latitude.",[Translation] لكل مدينة، أعرض أسماءها بترتيب تنازلي حسب أقصى خط عرض لمحطاتها.,8,,,,
What are the dates that had the top 5 cloud cover rates? Also tell me the cloud cover rate.,[Translation] ما هي التواريخ التي حققت فيها أعلى 5 معدلات لتغطية السحب؟ وأيضا، قل لي معدل تغطية السحب.,8,,,,
What are the dates that have the 5 highest cloud cover rates and what are the rates?,[Translation] ما هي التواريخ التي حققت فيها 5 أعلى معدلات لتغطية السحب وما هي هذه المعدلات؟,8,,,,
What are the ids and durations of the trips with the top 3 durations?,[Translation] ما هي معرفات ومدد الرحلات مع أطول 3 مدد؟,8,,,,
What are the ids of the trips that lasted the longest and how long did they last?,[Translation] ما هي معرفات الرحلات التي استمرت لفترة أطول ومدى مدة استمرارها؟,8,,,,
"For each station, return its longitude and the average duration of trips that started from the station.",[Translation] لكل محطة، أرجع خط الطول الخاص بها والمدة المتوسطة للرحلات التي بدأت من المحطة.,8,,,,
"For each start station id, what is its name, longitude and average duration of trips started there?",[Translation] لكل معرف محطة البداية، ما هو اسمها وخط الطول والمدة المتوسطة للرحلات التي بدأت منها؟,9,,,,
"For each station, find its latitude and the minimum duration of trips that ended at the station.",[Translation] لكل محطة، اعرض خط العرض الخاص بها والمدة الدنيا للرحلات التي انتهت في المحطة.,9,,,,
